Pressure,Temprature,Diameter,Ug,Ul,H,dp/dx,Density_mix,Viscosity_mix,friction factor
4.5,10,44,3.87,0.05,0.01,353,142.3302245,1.67218E-05,0.011365944
4.5,10,44,1.88,0.05,0.05,100,171.3782536,1.93831E-05,0.012093812
4.5,10,44,0.51,0.05,0.18,17,265.7843479,2.80324E-05,0.014614317
4.5,10,44,3.93,0.1,0,382,135.0682173,1.60564E-05,0.011355482
4.5,10,44,2.06,0.1,0.05,126,171.3782536,1.93831E-05,0.011980583
4.5,10,44,0.53,0.1,0.27,24,331.1424133,3.40203E-05,0.014627841
4.5,10,44,4.98,0.5,0.08,940,193.1642753,2.13791E-05,0.011190561
4.5,10,44,3.94,0.5,0.09,692,200.4262826,2.20444E-05,0.011356697
4.5,10,44,0.52,0.5,0.52,92,512.6925948,5.06536E-05,0.014036936
4.5,10,44,1.38,0.78,0.49,280,490.906573,4.86576E-05,0.012608513
4.5,10,44,0.5,0.78,0.7,156,643.4087254,6.26295E-05,0.013351972
3.5,0,44,4.92,0.1,0.03,511,122.9978928,1.73251E-05,0.011336294
3.5,0,44,3.65,0.1,0.06,314,147.8475673,1.98549E-05,0.011571528
3.5,0,44,2.67,0.1,0.09,176,172.6972418,2.23846E-05,0.011886493
3.5,0,44,1.17,0.1,0.19,48,255.5294903,3.08172E-05,0.013136729
3.5,0,44,0.55,0.1,0.32,21,363.2114132,4.17796E-05,0.014971553
3.5,0,44,4.88,0.19,0.06,655,147.8475673,1.98549E-05,0.011328774
3.5,0,44,3.63,0.19,0.08,392,164.414017,2.15414E-05,0.011571092
3.5,0,44,2.64,0.19,0.13,222,205.8301412,2.57577E-05,0.011902488
3.5,0,44,1.16,0.19,0.24,71,296.9456145,3.50335E-05,0.013173043
3.5,0,44,0.51,0.19,0.42,32,446.0436617,5.02122E-05,0.015123698
3.5,0,44,4.97,0.29,0.06,724,147.8475673,1.98549E-05,0.011314255
3.5,0,44,3.65,0.29,0.12,449,197.5469164,2.49144E-05,0.011566129
3.5,0,44,2.42,0.29,0.19,232,255.5294903,3.08172E-05,0.012025556
3.5,0,44,4.73,0.38,0.08,779,164.414017,2.15414E-05,0.011346593
3.5,0,44,3.1,0.38,0.18,407,247.2462654,2.9974E-05,0.011740495
3.5,0,44,2.61,0.38,0.21,317,272.09594,3.25038E-05,0.011941808
3.5,0,44,1.64,0.38,0.3,169,346.6449636,4.00931E-05,0.01261497
3.5,0,44,1.15,0.38,0.37,118,404.6275375,4.59959E-05,0.013232969
3.5,0,44,2.84,0.62,0.25,489,305.2288393,3.58768E-05,0.011849931
3.5,0,44,2.11,0.62,0.33,346,371.4946381,4.26229E-05,0.012242646
3.5,0,44,1.86,0.62,0.35,302,388.0610878,4.43094E-05,0.012412383
3.5,0,44,0.88,0.62,0.51,158,520.5926853,5.78015E-05,0.013470629
2.88,-7,44,5.36,0.03,0,467,78.19630224,1.41155E-05,0.011441378
2.88,-7,44,3.66,0.03,0.01,227,87.08698425,1.50968E-05,0.011771478
2.88,-7,44,1.67,0.03,0.04,54,113.7590303,1.80404E-05,0.012735083
2.88,-7,44,5.03,0.05,0.02,466,95.97766626,1.6078E-05,0.011448735
2.88,-7,44,3.45,0.05,0.04,237,113.7590303,1.80404E-05,0.011771795
2.88,-7,44,1.68,0.05,0.08,63,149.3217583,2.19653E-05,0.012670238
2.88,-7,44,0.44,0.05,0.2,8,256.0099425,3.374E-05,0.01567844
2.88,-7,44,5.02,0.1,0.02,524,95.97766626,1.6078E-05,0.01145023
2.88,-7,44,3.44,0.1,0.06,262,131.5403943,2.00029E-05,0.011751583
2.88,-7,44,1.68,0.1,0.12,74,184.8844864,2.58902E-05,0.012653977
2.88,-7,44,0.44,0.1,0.27,12,318.2447165,4.06086E-05,0.015697935
2.88,-7,44,3.82,0.5,0.17,609,229.3378964,3.07964E-05,0.011622391
2.88,-7,44,2.12,0.5,0.29,270,336.0260806,4.25711E-05,0.012352348
2.88,-7,44,1.87,0.5,0.31,233,353.8074446,4.45335E-05,0.012536621
2.88,-7,44,0.47,0.5,0.58,76,593.8558589,7.10266E-05,0.014599
4.5,10,44,4.68,0.03,0.02,485,149.5922318,1.73871E-05,0.011227814
4.5,10,44,3.74,0.03,0.03,327,156.854239,1.80524E-05,0.011392571
4.5,10,44,1.96,0.03,0.06,120,178.6402608,2.00484E-05,0.012046047
4.5,10,44,0.59,0.03,0.38,86,411.0244931,4.1339E-05,0.014811421
4.5,10,44,4.65,0.05,0.02,481,149.5922318,1.73871E-05,0.011232099
4.5,10,44,1.94,0.05,0.09,126,200.4262826,2.20444E-05,0.012071965
4.5,10,44,1.67,0.05,0.1,104,207.6882899,2.27097E-05,0.012273126
4.5,10,44,0.7,0.05,0.35,86,389.2384713,3.9343E-05,0.014264442
4.5,10,44,4.66,0.1,0.02,529,149.5922318,1.73871E-05,0.011230498
4.5,10,44,3.94,0.1,0.03,414,156.854239,1.80524E-05,0.011351464
4.5,10,44,1.95,0.1,0.12,142,222.2123044,2.40404E-05,0.012081256
4.5,10,44,0.61,0.1,0.44,104,454.5965367,4.53309E-05,0.014732263
4.5,10,44,4.47,0.5,0.1,840,207.6882899,2.27097E-05,0.011267632
4.5,10,44,4.03,0.5,0.12,723,222.2123044,2.40404E-05,0.011349119
4.5,10,44,2.09,0.5,0.3,327,352.9284351,3.60163E-05,0.012094392
4.5,10,44,0.63,0.5,0.59,179,563.5266456,5.53109E-05,0.013840058
2.88,-7,44,4.47,0.03,0.02,354,95.97766626,1.6078E-05,0.01155171
2.88,-7,44,3.52,0.03,0.03,232,104.8683483,1.70592E-05,0.011766884
2.88,-7,44,1.59,0.03,0.08,76,149.3217583,2.19653E-05,0.012760469
2.88,-7,44,0.44,0.03,0.48,99,504.9490388,6.12144E-05,0.016673568
2.88,-7,44,4.62,0.05,0.01,404,87.08698425,1.50968E-05,0.011543656
2.88,-7,44,3.42,0.05,0.02,238,95.97766626,1.6078E-05,0.011818076
2.88,-7,44,1.66,0.05,0.07,86,140.4310763,2.09841E-05,0.012697615
2.88,-7,44,0.58,0.05,0.38,93,416.0422187,5.14021E-05,0.015360861
2.88,-7,44,4.6,0.1,0.04,472,113.7590303,1.80404E-05,0.01149518
2.88,-7,44,3.66,0.1,0.06,318,131.5403943,2.00029E-05,0.011688361
2.88,-7,44,1.66,0.1,0.16,109,220.4472144,2.98151E-05,0.012686341
2.88,-7,44,0.49,0.1,0.5,107,522.7304028,6.31768E-05,0.016037591
2.88,-7,44,4.55,0.5,0.13,824,193.7751684,2.68715E-05,0.011460753
2.88,-7,44,3.58,0.5,0.2,606,256.0099425,3.374E-05,0.011696085
2.88,-7,44,1.61,0.5,0.36,270,398.2608546,4.94397E-05,0.012795542
4.5,10,44,4.61,0.03,0.01,420,142.3302245,1.67218E-05,0.01123848
4.5,10,44,3.45,0.03,0.02,239,149.5922318,1.73871E-05,0.011458434
4.5,10,44,1.7,0.03,0.05,47,171.3782536,1.93831E-05,0.012224921
4.5,10,44,0.9,0.03,0.07,-3.4,185.9022681,2.07137E-05,0.013252758
4.5,10,44,3.47,0.05,0.01,270,142.3302245,1.67218E-05,0.011454096
4.5,10,44,1.7,0.05,0.05,54,171.3782536,1.93831E-05,0.012224095
4.5,10,44,0.75,0.05,0.08,-6,193.1642753,2.13791E-05,0.013614654
4.5,10,44,4.67,0.1,0.01,508,142.3302245,1.67218E-05,0.0112296
4.5,10,44,3.48,0.1,0.03,301,156.854239,1.80524E-05,0.011450899
4.5,10,44,1.71,0.1,0.09,62,200.4262826,2.20444E-05,0.012230804
4.5,10,44,0.75,0.1,0.13,-5,229.4743116,2.47057E-05,0.01364429
4.5,10,44,0.43,0.1,0.12,-14,222.2123044,2.40404E-05,0.014912655
4.5,10,44,4.16,0.5,0.13,708,229.4743116,2.47057E-05,0.01132928
4.5,10,44,3.43,0.5,0.19,515,273.0463552,2.86977E-05,0.011512084
4.5,10,44,1.69,0.5,0.35,165,389.2384713,3.9343E-05,0.0123997
4.5,10,44,0.78,0.5,0.47,29,476.3825585,4.73269E-05,0.013532757
2.88,-7,44,3.63,0.03,0.02,204,95.97766626,1.6078E-05,0.011754739
2.88,-7,44,1.67,0.03,0.05,35,122.6497123,1.90217E-05,0.012715663
2.88,-7,44,0.25,0.03,0.06,-14,131.5403943,2.00029E-05,0.017571994
2.88,-7,44,3.43,0.05,0.03,193,104.8683483,1.70592E-05,0.011794179
2.88,-7,44,1.68,0.05,0.06,38,131.5403943,2.00029E-05,0.012689951
2.88,-7,44,0.22,0.05,0.09,-15,158.2124403,2.29466E-05,0.01794563
2.88,-7,44,3.49,0.1,0.05,235,122.6497123,1.90217E-05,0.011746396
2.88,-7,44,1.67,0.1,0.11,44,175.9938044,2.4909E-05,0.012663504
2.88,-7,44,0.23,0.1,0.13,-15,193.7751684,2.68715E-05,0.017621534
2.88,-7,44,4.51,0.5,0.13,704,193.7751684,2.68715E-05,0.011468114
2.88,-7,44,3.33,0.5,0.19,438,247.1192604,3.27588E-05,0.011763432
2.88,-7,44,2.12,0.5,0.28,203,327.1353985,4.15898E-05,0.012343519
2.88,-7,44,0.24,0.5,0.45,-19,478.2769927,5.82707E-05,0.015489043
